"Timestamp","Year Level","Age","Gender","General Weighted Average (Last Sem) for the ff. subject: [Psychology Assessment]","General Weighted Average (Last Sem) for the ff. subject: [Industrial Psychology]","General Weighted Average (Last Sem) for the ff. subject: [Developmental Psychology]","General Weighted Average (Last Sem) for the ff. subject: [Abnormal Psychology]"," [I create a daily schedule for study and reviewing]"," [I review my notes immediately after class lectures]"," [I set specific goals for what I plan to accomplish in each study session]"," [I avoid putting off assigned readings and homework until the last minute.]"," [I use active techniques such as summarizing, highlighting, or making concept maps]"," [I prefer to study in a quiet environment without distractions]"," [I participate in group study or discussion sessions with classmates]"," [I seek feedback from my teachers or mentors regarding my academic performance]","How many review classes or sessions have you attended in the past month?","Which do you prefer? ","Do you regularly attend scheduled review sessions provided by the college? "," [I feel confident in my ability to pass the Psychometrician Licensure Examination.]"," [I believe my current study methods will help me succeed in the board exam.]"," [I am aware of the topics and competencies required for the licensure examination.]"," [I am comfortable using new review tools or adaptive methods to prepare]","What motivates you the most to study for the board exam?","What challenges do you currently face in preparing for the board examination? ","What recommendations can you share for improving your review experience? "
"2025/11/25 4:14:33 pm GMT+8","Third Year","20","Female","N/A","N/A","High (1.00-1.50)","N/A","2 - Sometimes","2 - Sometimes","2 - Sometimes","3 - Often","4 - Always","3 - Often","1 - Never","1 - Never","None","Self-study","No","3 - Agree","3 - Agree","3 - Agree","3 - Agree","Professional advancement;Family expectations;Personal fulfillment","Lack of Books and sources needed for reviewing","Sleep more and eat more. "
"2025/11/25 4:14:48 pm GMT+8","3","22","male ","N/A","N/A","High (1.00-1.50)","N/A","2 - Sometimes","3 - Often","3 - Often","2 - Sometimes","4 - Always","4 - Always","4 - Always","3 - Often","None","Self-study","Yes","3 - Agree","2 - Disagree","2 - Disagree","3 - Agree","Professional advancement;Family expectations;Personal fulfillment;Peer influence","Time management ","try mock exams"
"2025/11/25 4:15:09 pm GMT+8","3 Year ","21","Male ","Low (2.50-3.00)","Low (2.50-3.00)","Medium (1.75-2.25)","Low (2.50-3.00)","2 - Sometimes","2 - Sometimes","2 - Sometimes","3 - Often","3 - Often","3 - Often","2 - Sometimes","3 - Often","More than 5","Self-study","No","4 - Strongly Agree","2 - Disagree","3 - Agree","2 - Disagree","Family expectations;Personal fulfillment","N/A","N/A"
"2025/11/25 4:15:14 pm GMT+8","third year","20","Female","N/A","N/A","Low (2.50-3.00)","N/A","2 - Sometimes","1 - Never","2 - Sometimes","1 - Never","2 - Sometimes","4 - Always","2 - Sometimes","1 - Never","1-2 times","Self-study","No","2 - Disagree","2 - Disagree","2 - Disagree","2 - Disagree","Personal fulfillment","kaba","focus"
"2025/11/25 4:15:26 pm GMT+8","Third Year","22","Female","N/A","N/A","Medium (1.75-2.25)","N/A","2 - Sometimes","2 - Sometimes","3 - Often","2 - Sometimes","2 - Sometimes","4 - Always","4 - Always","1 - Never","None","Self-study","No","1 - Strongly Disagree","1 - Strongly Disagree","2 - Disagree","3 - Agree","Peer influence","Time management",""
"2025/11/25 4:15:57 pm GMT+8","3rd year","21","Female","N/A","Medium (1.75-2.25)","Medium (1.75-2.25)","High (1.00-1.50)","2 - Sometimes","3 - Often","3 - Often","3 - Often","3 - Often","1 - Never","3 - Often","4 - Always","3-4 times","Self-study","Yes","3 - Agree","2 - Disagree","3 - Agree","3 - Agree","Professional advancement;Personal fulfillment","Review, time","Read"
"2025/11/25 4:18:07 pm GMT+8","3rd year","21","Female ","N/A","N/A","Medium (1.75-2.25)","N/A","2 - Sometimes","2 - Sometimes","2 - Sometimes","2 - Sometimes","2 - Sometimes","4 - Always","2 - Sometimes","2 - Sometimes","None","Formal review classes","No","3 - Agree","3 - Agree","3 - Agree","3 - Agree","Personal fulfillment","I'm currently in the state of doubting myself if i can pass the board exam ","Be responsible for your time and take accountability to do your duties as a student "
"2025/11/25 4:22:50 pm GMT+8","3rd Year","20","F","N/A","High (1.00-1.50)","High (1.00-1.50)","High (1.00-1.50)","2 - Sometimes","1 - Never","3 - Often","4 - Always","4 - Always","4 - Always","2 - Sometimes","1 - Never","None","Self-study","No","4 - Strongly Agree","3 - Agree","2 - Disagree","4 - Strongly Agree","Personal fulfillment","family problems, time management ",""
"2025/11/25 4:23:25 pm GMT+8","3","21","Female","High (1.00-1.50)","N/A","High (1.00-1.50)","N/A","2 - Sometimes","1 - Never","2 - Sometimes","1 - Never","2 - Sometimes","4 - Always","3 - Often","2 - Sometimes","None","Self-study","No","2 - Disagree","1 - Strongly Disagree","3 - Agree","4 - Strongly Agree","Personal fulfillment","I'm currently burned out and struggling to study and I'm contemplating taking a year to get a job and save some money.","I recommend taking little breaks during studying to prevent being burned out. "
"2025/11/25 8:11:45 pm GMT+8","3rd year","22","F","N/A","N/A","High (1.00-1.50)","N/A","2 - Sometimes","2 - Sometimes","3 - Often","3 - Often","2 - Sometimes","3 - Often","3 - Often","2 - Sometimes","None","Self-study","No","3 - Agree","3 - Agree","3 - Agree","3 - Agree","Personal fulfillment","Financial and pressure.","N/A"
"2025/11/26 11:37:52 am GMT+8","3rd","24","Female","N/A","N/A","High (1.00-1.50)","N/A","1 - Never","2 - Sometimes","2 - Sometimes","2 - Sometimes","3 - Often","3 - Often","2 - Sometimes","2 - Sometimes","None","Self-study","No","3 - Agree","2 - Disagree","3 - Agree","3 - Agree","Personal fulfillment","Pressure and expectations","N/A"
"2025/11/26 11:46:16 am GMT+8","3rd year","20","Female","N/A","N/A","High (1.00-1.50)","N/A","4 - Always","3 - Often","4 - Always","4 - Always","4 - Always","2 - Sometimes","4 - Always","1 - Never","1-2 times","Self-study","No","3 - Agree","3 - Agree","3 - Agree","3 - Agree","Professional advancement;Personal fulfillment","Money??",""
"2025/11/26 12:32:07 pm GMT+8","3rd Year","20","Female","N/A","N/A","High (1.00-1.50)","N/A","2 - Sometimes","2 - Sometimes","3 - Often","2 - Sometimes","3 - Often","2 - Sometimes","3 - Often","1 - Never","More than 5","Self-study","No","2 - Disagree","2 - Disagree","3 - Agree","3 - Agree","Personal fulfillment;Peer influence","",""
"2025/11/26 2:39:30 pm GMT+8","4","21","Non-binary","Medium (1.75-2.25)","High (1.00-1.50)","High (1.00-1.50)","High (1.00-1.50)","4 - Always","3 - Often","4 - Always","4 - Always","3 - Often","4 - Always","4 - Always","4 - Always","3-4 times","Group review","Yes","3 - Agree","3 - Agree","3 - Agree","4 - Strongly Agree","Professional advancement","N/A","N/A"
"2025/11/26 2:46:20 pm GMT+8","4th","22","Female","Medium (1.75-2.25)","Medium (1.75-2.25)","Medium (1.75-2.25)","High (1.00-1.50)","3 - Often","3 - Often","4 - Always","2 - Sometimes","4 - Always","4 - Always","3 - Often","1 - Never","None","Formal review classes","No","3 - Agree","3 - Agree","4 - Strongly Agree","4 - Strongly Agree","Professional advancement","Finance","I hope more free review centers become available for students like me who are struggling financially."
"2025/11/26 2:52:03 pm GMT+8","4th Year College","22","Female","Medium (1.75-2.25)","Medium (1.75-2.25)","High (1.00-1.50)","High (1.00-1.50)","3 - Often","2 - Sometimes","2 - Sometimes","2 - Sometimes","3 - Often","3 - Often","3 - Often","3 - Often","None","Self-study","No","3 - Agree","3 - Agree","3 - Agree","3 - Agree","Personal fulfillment","Pressure","None if it's for the boards, I am not thinking of preparing for it since I still have a schoolworks right now. But if it's for an examination review for now, I will recommend mnemonic technique and I recite key takeaways of a lesson as if I were telling a story. "
"2025/11/26 3:00:04 pm GMT+8","4th year","22","Female","Medium (1.75-2.25)","Medium (1.75-2.25)","Medium (1.75-2.25)","Medium (1.75-2.25)","2 - Sometimes","1 - Never","2 - Sometimes","3 - Often","3 - Often","3 - Often","3 - Often","2 - Sometimes","None","Group review","No","3 - Agree","2 - Disagree","3 - Agree","3 - Agree","Professional advancement;Family expectations;Personal fulfillment;Peer influence","Lack of resources and day-to-day responsibilities are my challege in focusing even with just attending to class.","A better support system and environment"
"2025/11/26 3:00:18 pm GMT+8","4th Year","22","Female ","High (1.00-1.50)","High (1.00-1.50)","High (1.00-1.50)","High (1.00-1.50)","2 - Sometimes","2 - Sometimes","2 - Sometimes","2 - Sometimes","3 - Often","3 - Often","1 - Never","1 - Never","None","Self-study","No","2 - Disagree","2 - Disagree","2 - Disagree","4 - Strongly Agree","Professional advancement","I'm currently facing financial issues in where I need to work rather prepare for the board examination. I think, in God's grace, I'll try to take it 2yrs from now. ","Recommendation to the institute would be giving free and accessible review materials. And, for the students, focus on your strengths rather than looking for your weaknesses. "
"2025/11/26 3:45:50 pm GMT+8","3rd year","23","Male","N/A","N/A","High (1.00-1.50)","N/A","2 - Sometimes","2 - Sometimes","2 - Sometimes","3 - Often","3 - Often","4 - Always","2 - Sometimes","1 - Never","None","Formal review classes","Yes","3 - Agree","2 - Disagree","4 - Strongly Agree","3 - Agree","Professional advancement;Personal fulfillment","Financial for review center","Be serious on time management."
"2025/11/26 3:46:05 pm GMT+8","3rd Year","21","Male","N/A","N/A","High (1.00-1.50)","N/A","3 - Often","2 - Sometimes","3 - Often","2 - Sometimes","4 - Always","4 - Always","2 - Sometimes","2 - Sometimes","More than 5","Group review","Yes","2 - Disagree","2 - Disagree","3 - Agree","3 - Agree","Family expectations;Personal fulfillment","The pressure and all of the board course that i need to review because im not the kind of person that fast learner","a peace environment "
"2025/11/26 3:46:46 pm GMT+8","3rd","20","Male","N/A","N/A","High (1.00-1.50)","N/A","3 - Often","2 - Sometimes","2 - Sometimes","3 - Often","4 - Always","4 - Always","4 - Always","3 - Often","None","Self-study","No","2 - Disagree","3 - Agree","3 - Agree","3 - Agree","Professional advancement;Family expectations;Personal fulfillment","Family and relative expectations of passing, also my capability","Do what works for you,  and apply any study technique that suits you best."
"2025/11/26 3:48:12 pm GMT+8","3rd Year","20","Female","N/A","N/A","High (1.00-1.50)","N/A","3 - Often","2 - Sometimes","3 - Often","2 - Sometimes","3 - Often","4 - Always","2 - Sometimes","2 - Sometimes","None","Formal review classes","No","3 - Agree","3 - Agree","3 - Agree","3 - Agree","Professional advancement;Personal fulfillment","Burnout & Financial instability ","more review session?"
"2025/11/26 3:53:40 pm GMT+8","3rd yr","20","Female ","N/A","N/A","High (1.00-1.50)","N/A","3 - Often","2 - Sometimes","3 - Often","2 - Sometimes","3 - Often","4 - Always","3 - Often","2 - Sometimes","None","Formal review classes","No","3 - Agree","3 - Agree","3 - Agree","3 - Agree","Professional advancement;Family expectations;Personal fulfillment;Peer influence","Surviving and passing the exams especially the major subjects ","Ask guidance from the passers "
"2025/11/26 5:51:23 pm GMT+8","4th year","23","Male ","High (1.00-1.50)","High (1.00-1.50)","High (1.00-1.50)","High (1.00-1.50)","4 - Always","4 - Always","4 - Always","3 - Often","4 - Always","4 - Always","3 - Often","3 - Often","3-4 times","Formal review classes","Yes","3 - Agree","3 - Agree","4 - Strongly Agree","4 - Strongly Agree","Professional advancement;Personal fulfillment","I really want to take the PPLE 2026, but the thing is our institution is not releasing a transcript of records without having the graduation. I'm currently enrolled in a review center and now, I am torn to stop my review journey preparation and try again next year wherein I am sure that I already graduated that time. ","To improve your review experience, try to look more reliable sources of review materials that can use. In this way, you have a lot of materials to use and be familiarized with. "
"2025/11/27 12:29:20 am GMT+8","4th Year","21","Female ","Medium (1.75-2.25)","Medium (1.75-2.25)","Medium (1.75-2.25)","Medium (1.75-2.25)","2 - Sometimes","2 - Sometimes","3 - Often","2 - Sometimes","3 - Often","3 - Often","2 - Sometimes","2 - Sometimes","1-2 times","Formal review classes","Yes","3 - Agree","3 - Agree","3 - Agree","3 - Agree","Professional advancement","they have an early sched for the upcoming exam","learn it through heart the concepts"
"2025/11/27 10:32:07 am GMT+8","3","21","Female","N/A","N/A","Medium (1.75-2.25)","N/A","4 - Always","3 - Often","4 - Always","2 - Sometimes","4 - Always","4 - Always","4 - Always","4 - Always","3-4 times","Self-study","No","3 - Agree","4 - Strongly Agree","4 - Strongly Agree","4 - Strongly Agree","Professional advancement","We have a pressure and overthink ","Be ready and fights!"
"2025/11/29 11:51:03 pm GMT+8","3rd","20","Femal3","N/A","N/A","Medium (1.75-2.25)","N/A","2 - Sometimes","2 - Sometimes","2 - Sometimes","2 - Sometimes","3 - Often","4 - Always","1 - Never","1 - Never","None","Formal review classes","No","3 - Agree","3 - Agree","2 - Disagree","3 - Agree","Professional advancement;Personal fulfillment","",""
"2025/12/01 6:45:23 pm GMT+8","Graduated","23","Female","Medium (1.75-2.25)","Medium (1.75-2.25)","Medium (1.75-2.25)","Medium (1.75-2.25)","2 - Sometimes","3 - Often","2 - Sometimes","3 - Often","4 - Always","4 - Always","4 - Always","4 - Always","1-2 times","Group review","Yes","3 - Agree","4 - Strongly Agree","4 - Strongly Agree","4 - Strongly Agree","Professional advancement;Family expectations;Personal fulfillment;Peer influence","Work schedule that conflicts with the review schedule","Focus on reviewing, always review with saying it out loud"
"2025/12/03 11:20:57 am GMT+8","Graduate","22","Female","Medium (1.75-2.25)","High (1.00-1.50)","Medium (1.75-2.25)","High (1.00-1.50)","4 - Always","2 - Sometimes","4 - Always","2 - Sometimes","4 - Always","3 - Often","4 - Always","2 - Sometimes","3-4 times","Group review","Yes","3 - Agree","3 - Agree","4 - Strongly Agree","3 - Agree","Professional advancement;Personal fulfillment","Sometimes I feel lost because right now i’m not very strict with my review schedule due to my work schedule. ","Take all the materials given free online, set a personal space and don’t get overwhelm."
"2025/12/05 12:30:43 pm GMT+8","Graduate ","23","Male","Medium (1.75-2.25)","Medium (1.75-2.25)","Medium (1.75-2.25)","Medium (1.75-2.25)","2 - Sometimes","1 - Never","2 - Sometimes","1 - Never","2 - Sometimes","3 - Often","2 - Sometimes","1 - Never","None","Group review","Yes","2 - Disagree","2 - Disagree","2 - Disagree","3 - Agree","Professional advancement;Personal fulfillment;Peer influence","Time","Time management "
"2025/12/05 1:18:48 pm GMT+8","Graduate","23","Male","Medium (1.75-2.25)","Medium (1.75-2.25)","High (1.00-1.50)","Medium (1.75-2.25)","4 - Always","3 - Often","4 - Always","4 - Always","4 - Always","4 - Always","3 - Often","3 - Often","1-2 times","Formal review classes","Yes","4 - Strongly Agree","3 - Agree","3 - Agree","4 - Strongly Agree","Professional advancement;Family expectations;Personal fulfillment;Peer influence","I’ve been studying again for months now, and I think the most challenging part of my review is disciplining myself to actually follow the schedule I created. Another struggle is avoiding my dependence on caffeine just to stay awake while studying. Still, I’m learning to manage my energy better—taking short breaks, staying hydrated, and choosing a study pace that doesn’t burn me out.","1. If you review with background music, make sure it has no lyrics so it won’t disrupt your comprehension.

2. Learn to read, understand, highlight, write, then read and understand again as many times as needed so you don’t forget the topic right after studying it.

3. Don’t feel too pressured. Keep your review journey private, but not secret.

4. Enjoy the process—don’t make your study time feel like punishment.

5. Use spaced repetition. Instead of cramming, revisit topics after a day, after a week, and after a few weeks. This strengthens long-term memory and helps you retain information more effectively."
"2025/12/05 10:11:57 pm GMT+8","4","22","Female","High (1.00-1.50)","Medium (1.75-2.25)","High (1.00-1.50)","High (1.00-1.50)","2 - Sometimes","1 - Never","3 - Often","3 - Often","4 - Always","4 - Always","4 - Always","1 - Never","1-2 times","Formal review classes","Yes","3 - Agree","3 - Agree","4 - Strongly Agree","3 - Agree","Professional advancement;Family expectations;Personal fulfillment;Peer influence","Financial and intrapersonal matters","Review with good influential friends/peers and let them motivate you"
"2025/12/06 1:58:25 pm GMT+8","4","21","Non-binary","High (1.00-1.50)","High (1.00-1.50)","High (1.00-1.50)","High (1.00-1.50)","4 - Always","","4 - Always","3 - Often","4 - Always","4 - Always","4 - Always","3 - Often","3-4 times","Group review","Yes","3 - Agree","4 - Strongly Agree","3 - Agree","3 - Agree","Professional advancement","",""
